clip_id,caption
clip_0.mp4,A news anchor standing next to a picture of a dog in a wheel chair.
clip_1.mp4,A man talking to a woman on fox news.
clip_2.mp4,A man in an orange shirt is working on a piece of wood.
clip_3.mp4,A group of people in white coats standing next to each other.
clip_4.mp4,A tv screen showing a man standing in front of a dam.
clip_5.mp4,A tv screen with a man standing in front of a group of men.
clip_6.mp4,A naked man is standing in front of a red background with a towel wrapped around his waist.
clip_7.mp4,A woman smiling while sitting next to other people.
clip_8.mp4,A group of people standing around a man on a stage.
clip_9.mp4,A man in a blue shirt talking to the camera.
clip_10.mp4,A man in a blue shirt talking to the camera.
clip_11.mp4,A man in a blue shirt is talking to the camera.
clip_12.mp4,A close up of a black piece of luggage.
clip_13.mp4,It is a close up picture of a black case in a room.
clip_14.mp4,"There are two zippers on the main zippers that can be locked, and the speaker mentions that you will need to buy two locks."
clip_15.mp4,A man is working on a piece of wood.
clip_16.mp4,A man with a mask on his face working on a piece of wood.
clip_17.mp4,A man is working on a piece of furniture made out of wood.
clip_18.mp4,A pink and white cake on a plate with a bite taken out of it.
clip_19.mp4,A person is mixing something in a bowl.
clip_20.mp4,A close up of a mixer with batter in it.
clip_21.mp4,A close up of a hand opening a box.
clip_22.mp4,A person is looking at a speaker design and discussing the drivers.
clip_23.mp4,A pair of black shoes in a black case and a pair of black bowls on a wooden floor.
clip_24.mp4,"There are several bowls of food on a table, including tortilla chips, salsa, and guacamole."
clip_25.mp4,A person is making a quesadilla on a wooden table.
clip_26.mp4,A wooden table topped with bowls of food.
clip_27.mp4,There is a black background with a lot of glitter falling from the sky.
clip_28.mp4,A woman is standing in front of a kitchen counter and talking to the camera.
clip_29.mp4,Two women standing in a kitchen with a dog.
clip_30.mp4,A can of super seal on a blue background.
clip_31.mp4,The homepage of idpusa com.
clip_32.mp4,A man is working on the engine of a car.
clip_33.mp4,There is a soccer game being played in a stadium with a large crowd of people watching.
clip_34.mp4,There is a soccer game being played in a stadium with a large crowd of people watching.
clip_35.mp4,A young man is sitting in front of a camera and talking to the viewer.
clip_36.mp4,A man is talking on a television show.
clip_37.mp4,A man is talking to a microphone in front of a tv.
clip_38.mp4,A sign with the logo on a blue background.
clip_39.mp4,A person is using an orange scuba diving inflatable buoyancy compensator.
clip_40.mp4,It is a blue and black case with a loop at one end for attaching the unit to other things.
clip_41.mp4,A person is holding a black case in their hands.
clip_42.mp4,An onion and a ginger root sitting on top of a gas stove.
clip_43.mp4,"It is a pot of beef bones and oxtail being boiled in water for 20 minutes, then the water is strained out and the broth is cooked again."
clip_44.mp4,"There is a charred ginger, onion, and spices on a cutting board."
clip_45.mp4,"A man standing in front of a door with a sign that says ""welcome to my workshop""."
clip_46.mp4,A close up of a piece of wood with some tools on it.
clip_47.mp4,A carpenter is using a handsaw to cut a piece of wood.
clip_48.mp4,A close up of a tv screen with a man's face on it.
clip_49.mp4,A man and woman on a news program.
clip_50.mp4,A man is being escorted to a hospital by two police officers.
clip_51.mp4,The speaker is standing in front of a cemetery and talking about death.
clip_52.mp4,A man is standing in front of a waterfall and pointing at it with his hand.
clip_53.mp4,An aerial view of a green field with a mountain in the background.
clip_54.mp4,A group of men in suits and ties sitting next to each other.
clip_55.mp4,"A group of people are sitting around a table in a formal setting, with one person speaking and others listening."
clip_56.mp4,A group of asian people toasting each other.
clip_57.mp4,There is a group of people standing around a kitchen counter with various food items on it.
clip_58.mp4,There is a flyer for a meal with ingredients and sauces on the menu.
clip_59.mp4,A person stirring food in a pan on a stove.
clip_60.mp4,A man standing in a kitchen with a cutting board.
clip_61.mp4,There is a man standing at a counter in a kitchen with green walls and appliances.
clip_62.mp4,A man in a kitchen preparing food on a cutting board.
clip_63.mp4,A picture of a mandolin and a guitar.
clip_64.mp4,An old man is holding a guitar in his hand. he is wearing a white shirt and has gray hair.
clip_65.mp4,Three men sitting at a table playing guitars.
clip_66.mp4,A wrecked car on the side of the road.
clip_67.mp4,A car on the side of a road next to a truck.
clip_68.mp4,"There is a white truck on the side of the road, with damage to the front end."
clip_69.mp4,A news reporter is standing in front of a city building at night and talking to the camera.
clip_70.mp4,A senior woman is sitting in front of a window and talking to the camera.
clip_71.mp4,A newspaper with a picture of a man and a woman on it.
clip_72.mp4,A man in a suit and tie on a news set.
clip_73.mp4,A man wearing a white turban and holding a microphone is speaking to the camera.
clip_74.mp4,A politician is speaking to a group of people at a meeting.
clip_75.mp4,A young woman is sitting in front of a blue wall and holding a pair of scissors.
clip_76.mp4,A young girl holding a purple object in her hands.
clip_77.mp4,A young woman is sitting in front of a blue wall and holding a piece of paper in her hand.
clip_78.mp4,A hand holding a box of dragon ball z cards.
